Word,Language
neib,Simlish
wut sa dib,Simlish
abar(o),Tolkien Elvish
aikwā,Tolkien Elvish
khagdā¹,Tolkien Elvish
ala-ā-mene,Tolkien Elvish
aklari(n)kwā,Tolkien Elvish
ambu(na),Tolkien Elvish
at-kwet,Tolkien Elvish
banayā,Tolkien Elvish
delkā,Tolkien Elvish
dankĭna,Tolkien Elvish
dūbā,Tolkien Elvish
(e)kwē̆,Tolkien Elvish
ekwē,Tolkien Elvish
erikwa,Tolkien Elvish
et-kelē,Tolkien Elvish
galadarembinā,Tolkien Elvish
gōr(i)kubā,Tolkien Elvish
gwā-ƀandina,Tolkien Elvish
ʒandā,Tolkien Elvish
imbi-lătă,Tolkien Elvish
kala-kwendī,Tolkien Elvish
kanakwe,Tolkien Elvish
kamprū,Tolkien Elvish
kalta,Tolkien Elvish
lamā̆n,Tolkien Elvish
laikwā,Tolkien Elvish
mā-limi,Tolkien Elvish
mbar-ndor,Tolkien Elvish
mēlā̆-mbar,Tolkien Elvish
morikwende,Tolkien Elvish
ndangwetha,Tolkien Elvish
nazgā,Tolkien Elvish
ndilā-,Tolkien Elvish
nēthā²,Tolkien Elvish
-iyē¹,Tolkien Elvish
ontarō,Tolkien Elvish
phawalōkō,Tolkien Elvish
rokokwēn,Tolkien Elvish
srāban,Tolkien Elvish
stuknā,Tolkien Elvish
tatakwe,Tolkien Elvish
thū́lē,Tolkien Elvish
tirlā,Tolkien Elvish
turunko,Tolkien Elvish
ubmē,Tolkien Elvish
uklā,Tolkien Elvish
verū,Tolkien Elvish
wādelo,Tolkien Elvish
wegtē,Tolkien Elvish
yānā,Tolkien Elvish
yuyuñal,Tolkien Elvish
